Keyword (SYMPTOMPS),DISORDER,DESCRIPTION,,KATEGORY,PERTANYAAN,PERTANYAAN LANJUTAN,,DISORDER,FAKTOR PEMICU,INITIAL SOLUTION,,,ADVICE
"Obsesi berlebihan, ",OCD,"Adanya obsesi, kompulsi, atau keduanya

Obsesi didefinisikan oleh (1) dan (2)

1. Pikiran, desakan, atau gambaran yang berulang dan terus-menerus yang dialami, pada suatu waktu selama gangguan, sebagai sesuatu yang mengganggu dan tidak diinginkan, dan pada sebagian besar individu menyebabkan kecemasan atau tekanan yang nyata.

2. Individu berupaya untuk mengabaikan atau menekan pemikiran, desakan, atau gambaran tersebut, atau menetralisirnya dengan pemikiran atau tindakan lain (yaitu, dengan melakukan suatu kompulsi)

Kompulsi didefinisikan oleh (1) dan (2)

1. Perilaku berulang (misalnya mencuci tangan, memesan, memeriksa) atau tindakan mental (misalnya berdoa, menghitung, mengulangi kata-kata dalam hati) yang individu merasa terdorong untuk melakukannya sebagai respons terhadap obsesi atau sesuai dengan aturan yang harus diterapkan secara kaku

2. Perilaku atau tindakan mental tersebut bertujuan untuk mencegah atau mengurangi kecemasan atau kesusahan, atau mencegah beberapa hal yang ditakuti peristiwa atau situasi, bagaimanapun, perilaku atau mental ini tindakan tidak terhubung secara realistis dengan apa yang mereka lakukan dirancang untuk menetralisir atau mencegah, atau jelas-jelasberlebihan

Obsesi atau kompulsi memakan waktu (misalnya lebih dari 1 jam per hari) atau menyebabkan penderitaan atau gangguan yang signifikan secara klinis dalam bidang sosial, pekerjaan, atau bidang fungsi penting lainnya

Gejala obsesif-kompulsif tidak disebabkan oleh efek fisiologis suatu zat",,Kecemasan Umum,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,,,SPECIFIC PHOBIA,"Psikologis : 
1. Pengalaman traumatis yang terkait dengan objek atau situasi tertentu.
2. Ketakutan irasional yang dipicu oleh pemikiran otomatis negatif.
3. Pola belajar dari orang lain (misalnya, melihat orang tua takut pada sesuatu).
4. Pengkondisian negatif terhadap objek atau situasi tertentu.
5. Penghindaran yang terus-menerus memperkuat ketakutan.","Strategi Harian : 
1. Eksposur Bertahap: Hadapi fobia mulai dari yang paling ringan (misalnya, gambar).
2. Teknik Relaksasi: Gunakan meditasi atau latihan mindfulness setelah menghadapi pemicu fobia.
3. Cari Dukungan: Ceritakan ketakutanmu pada orang yang bisa mendukungmu.",,SOCIAL ANXIETY,"""Kesalahan kecil tidak akan membuat orang lain menilaimu seburuk yang kamu pikirkan. Orang lain sering lebih pengertian daripada yang kita bayangkan."""
"Hypervigilance, respon berlebihan",PTSD,"Paparan terhadap kematian aktual atau ancaman, cedera serius, atau kekerasan seksual dalam satu (atau lebih) cara berikut:
A1. Mengalami peristiwa traumatis secara langsung.
A2. Menyaksikan sendiri peristiwa yang dialami orang lain.
A3. Mengetahui bahwa peristiwa traumatis terjadi pada anggota keluarga dekat atau teman dekat. Dalam kasus anggota keluarga atau teman dekat yang benar-benar atau terancam meninggal, peristiwa tersebut pasti merupakan kekerasan atau kecelakaan.
A4. Mengalami paparan yang berulang-ulang atau ekstrim terhadap rincian peristiwa traumatis yang tidak menyenangkan (misalnya, petugas pertolongan pertama yang mengumpulkan sisa-sisa manusia; petugas polisi berulang kali mengetahui rincian pelecehan anak).

Catatan: Kriteria A4 tidak berlaku untuk paparan melalui media elektronik, televisi, film, atau gambar, kecuali paparan tersebut berkaitan dengan pekerjaan.

Adanya satu (atau lebih) gejala intrusi berikut yang terkait dengan peristiwa traumatis, yang dimulai setelah peristiwa traumatis terjadi:
1. Kenangan menyedihkan yang berulang, tidak disengaja, dan mengganggu tentang peristiwa traumatis.
Catatan: Pada anak di atas 6 tahun, permainan berulang dapat terjadi dimana tema atau aspek peristiwa traumatik diungkapkan.
2. Mimpi menyedihkan yang berulang yang isi dan/atau pengaruh mimpinya berkaitan dengan peristiwa traumatis.
Catatan: Pada anak-anak, mungkin ada mimpi menakutkan tanpa isi yang dapat dikenali.
3. Reaksi disosiatif (misalnya, kilas balik) di mana individu merasa atau bertindak seolah-olah peristiwa traumatis itu berulang.(Reaksi seperti itu dapat terjadi dalam suatu kontinum, dengan ekspresi yang paling ekstrem adalah hilangnya kesadaran sepenuhnya terhadap lingkungan saat ini).
Catatan: Pada anak-anak, pemeragaan trauma spesifik dapat terjadi saat bermain.
4. Tekanan psikologis yang intens atau berkepanjangan akibat paparan isyarat internal atau eksternal yang melambangkan atau menyerupai aspek peristiwa traumatis
5. Reaksi fisiologis yang nyata terhadap isyarat internal atau eksternal yang melambangkan atau menyerupai aspek peristiwa traumatis

Perubahan negatif dalam kognisi dan suasana hati yang terkait dengan peristiwa traumatis, yang dimulai atau memburuk setelahnya
peristiwa traumatis terjadi, yang dibuktikan dengan dua (atau lebih) hal berikut:
1. Ketidakmampuan untuk mengingat aspek penting dari peristiwa traumatis (biasanya disebabkan oleh amnesia disosiatif dan bukan karena faktor lain seperti cedera kepala, alkohol, atau obat-obatan)
2 Keyakinan atau ekspektasi negatif yang terus-menerus dan berlebihan terhadap diri sendiri, orang lain, atau dunia (misalnya, ""Saya jahat"", ""Tidak ada yang bisa dipercaya"", ""Dunia ini benar-benar berbahaya"", ""Seluruh sistem saraf saya hancur secara permanen"" ).
3. Kognisi yang terus-menerus dan terdistorsi tentang penyebab atau akibat dari peristiwa traumatis yang menyebabkan individu menyalahkan dirinya sendiri atau orang lain.
4. Keadaan emosi negatif yang terus-menerus (misalnya ketakutan, kengerian, kemarahan, rasa bersalah, atau malu).
5. Berkurangnya minat atau partisipasi dalam aktivitas penting.
6. Perasaan terpisah atau terasing dari orang lain.
7. Ketidakmampuan yang terus-menerus untuk mengalami emosi positif (misalnya ketidakmampuan untuk merasakan kebahagiaan, kepuasan, atau perasaan cinta).

Perubahan nyata dalam gairah dan reaktivitas yang terkait dengan peristiwa traumatis, yang dimulai atau memburuk setelah peristiwa traumatis terjadi, sebagaimana dibuktikan oleh dua (atau lebih) hal berikut
1. Perilaku mudah tersinggung dan ledakan kemarahan (dengan sedikit atau tanpa provokasi) biasanya dinyatakan sebagai agresi verbal atau fisik terhadap orang atau benda.
2. Perilaku sembrono atau merusak diri sendiri
3. Kewaspadaan yang berlebihan
4 Respon kaget yang berlebihan
5. Masalah konsentrasi

Gangguan tersebut menyebabkan penderitaan atau gangguan yang signifikan secara klinis dalam bidang sosial, pekerjaan, atau bidang fungsi penting lainnya
Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya obat-obatan, alkohol) atau kondisi medis lainnya",,Kecemasan Umum,apakah kamu kesulitan percaya pada orang lain sehingga tidak merasa dekat dengan siapapun dan tidak menikmati hubungan mu dengan orang lain?,,,SPECIFIC PHOBIA,"Lingkungan : 
1. Eksposur terhadap pengalaman buruk (misalnya, gigitan hewan untuk fobia binatang).
2. Lingkungan yang penuh ancaman (misalnya, tempat rawan kecelakaan).
3. Paparan cerita atau berita traumatis terkait objek tertentu.
4. Kehidupan di lingkungan dengan nilai-nilai budaya yang mendorong ketakutan tertentu.
5. Stigma sosial terhadap ketakutan tertentu.","Teknik Jangka Pendek : 
1. Tantang Ketakutan: Tanyakan, “Seberapa besar kemungkinan ketakutan ini benar-benar terjadi?”
2. Visualisasi Positif: Bayangkan dirimu menghadapi ketakutan dengan percaya diri.",,SOCIAL ANXIETY,"""Tidak ada yang sempurna. Berani muncul dan mencoba adalah langkah besar yang patut diapresiasi."""
"Gejala fisik seperti tubuh bergetar, keringat berlebih dan mual",SOCIAL ANXIETY,"Ketakutan atau kecemasan yang nyata terhadap satu atau lebih situasi sosial di mana individu kemungkinan akan diawasi oleh orang lain. Contohnya adalah interaksi sosial (misalnya bercakap-cakap, bertemu dengan orang asing), diamati (misalnya makan atau minum), dan tampil di depan orang lain (misalnya memberikan pidato).

Individu takut bahwa dia akan bertindak dengan cara tertentu atau menunjukkan gejala kecemasan yang akan dinilai negatif (misalnya akan mempermalukan atau mempermalukan, akan menyebabkan penolakan atau menyinggung perasaan orang lain)

Situasi sosial hampir selalu menimbulkan rasa takut atau cemas

Situasi sosial dihindari atau ditanggung dengan rasa takut atau cemas yang hebat

Ketakutan atau kecemasan tersebut tidak sebanding dengan ancaman aktual yang ditimbulkan oleh situasi sosial dan konteks sosiokultural

Ketakutan, kecemasan, atau penghindaran bersifat menetap, biasanya berlangsung selama 6 bulan atau lebih

Ketakutan, kecemasan, atau penghindaran menyebabkan penderitaan atau gangguan yang signifikan secara klinis dalam bidang sosial, pekerjaan, atau bidang fungsi penting lainnya.

Ketakutan, kecemasan, atau penghindaran tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat-obatan) atau kondisi medis lainnya.

Ketakutan, kecemasan, atau penghindaran tidak dapat dijelaskan dengan lebih baik oleh gejala gangguan mental lain, seperti gangguan panik, gangguan dismorfik tubuh, atau gangguan spektrum autisme.",,Kecemasan Umum,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",,,SPECIFIC PHOBIA,"Faktor Lain : 
1. Situasi yang tiba-tiba (misalnya, naik lift yang tiba-tiba berhenti).
2. Suara atau gambar yang memicu ketakutan.
3. Konsumsi stimulan yang meningkatkan respons kecemasan.
4. Kurangnya eksposur bertahap terhadap objek atau situasi yang ditakuti.
5. Efek samping terapi atau pengobatan yang memengaruhi rasa takut.","Anjuran Profesional : 
1. Terapkan terapi eksposur dengan bimbingan terapis.
2. Psikiater dapat meresepkan obat anti-kecemasan jika fobia mengganggu fungsi sehari-hari.",,SOCIAL ANXIETY,"""Fokuslah pada satu percakapan atau satu orang, bukan seluruh situasi."""
Rasa takut berlebih dan gejala fisik,SPECIFIC PHOBIA,"""Ketakutan atau kecemasan yang nyata terhadap objek atau situasi tertentu (misalnya terbang, ketinggian, binatang, menerima suntikan, melihat darah).
Catatan: Pada anak-anak, ketakutan atau kecemasan dapat diekspresikan dengan menangis, mengamuk, membeku, atau menempel.""

Objek atau situasi fobia hampir selalu langsung memicu ketakutan atau kecemasan. 

Objek atau situasi fobia secara aktif dihindari atau ditanggung dengan rasa takut atau cemas yang hebat

Ketakutan atau kecemasan tersebut tidak sebanding dengan bahaya aktual yang ditimbulkan oleh objek atau situasi tertentu dan konteks sosiokultural.

Ketakutan, kecemasan, atau penghindaran bersifat terus-menerus, biasanya berlangsung selama 6 bulan atau lebih.

Ketakutan, kecemasan, atau penghindaran menyebabkan penderitaan atau gangguan yang signifikan secara klinis dalam bidang sosial, pekerjaan, atau bidang fungsi penting lainnya",,Kecemasan Umum,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?",,,,,,,SOCIAL ANXIETY,"""Keberanian tidak berarti tanpa rasa takut; keberanian berarti melangkah meskipun ada rasa takut."""
,,,,Kecemasan Umum,"apa kamu Mengeluh sakit perut, sakit kepala, atau nyeri dan rasa sakit lainnya?",,,,,,,SOCIAL ANXIETY,"""Orang-orang ingin mendengarmu. Suaramu penting dan layak didengar."""
,,,,Kecemasan Umum,apa kamu khawatir tentang kesehatanmu atau tentang sakit mu?,,,,,,,SPECIFIC PHOBIA,"""Ketakutan adalah respons alami, tapi kamu tidak harus membiarkannya mengontrol hidupmu."""
,,,,Kecemasan Umum,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,SPECIFIC PHOBIA,"""Setiap langkah kecil yang kamu ambil untuk menghadapi fobia adalah kemenangan besar."""
,,,,Kecemasan Umum,apakah kamu merasa saat melakukan sesuatu menjadi tidak menyenangkan lagi seperti biasanya?,,,,,,,SPECIFIC PHOBIA,"""Ketakutan itu seperti awan. Ia akan berlalu jika kamu tetap berdiri di tempatmu."""
,,,,Kecemasan Umum,apakah kamu merasa sedih atau tertekan dalam waktu yang lama seperti berjam jam?,,,,,,,SPECIFIC PHOBIA,"""Pelan-pelan, dengan waktu, kamu bisa menghadapi ketakutan ini dengan keberanian."""
,,,,Kecemasan Umum,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,,,,,,,SPECIFIC PHOBIA,"""Ingatlah bahwa ketakutanmu tidak mendefinisikanmu. Kamu lebih dari itu."""
,,,,Gangguan Panik,"apakah kamu gugup, khawatir atau cemas?",,,,,,,,
,,,,Gangguan Panik,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,,,,,,
,,,,Gangguan Panik,apakah kamu merasa jika penyakitmu tidak di tanggapi dengan serius?,,,,,,,,
,,,,Gangguan Panik,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,,,,,,,,
,,,,Gangguan Panik,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",,,,,,,,
,,,,Gangguan Panik,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?",,,,,,,,
,,,,Gangguan Panik,"apa kamu Mengeluh sakit perut, sakit kepala, atau nyeri dan rasa sakit lainnya?",,,,,,,,
,,,,Gangguan Panik,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,,
,,,,Gangguan Panik,apakah kamu merasa saat melakukan sesuatu menjadi tidak menyenangkan lagi seperti biasanya?,,,,,,,,
,,,,Gangguan Panik,apakah kamu merasa sedih atau tertekan dalam waktu yang lama seperti berjam jam?,,,,,,,,
,,,,Gangguan Panik,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,,,,,,,,
,,,,OCD,"apakah kamu gugup, khawatir atau cemas?",,,,,,,,
,,,,OCD,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,,,,,,
,,,,OCD,apakah kamu merasa seperti terdorong untuk melakukan sesuatu secara berulang?,,,,,,,,
,,,,OCD,apa kamu pernah meminum minuman alkohol lebih dari 4 jenis dalam satu hari?,,,,,,,,
,,,,OCD,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",,,,,,,,
,,,,OCD,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?",,,,,,,,
,,,,OCD,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,,
,,,,OCD,"apa kamu merasa lebih mudah merasa jengkel, mudah terganggu dan kehilangan kesabaran ?",,,,,,,,
,,,,OCD,apa kamu merasa perlu memeriksa sesuatu berulang ulang secara terus menerus?,,,,,,,,
,,,,OCD,apa kamu khawatir akan kebersihan benda yang kamu sentuh?,,,,,,,,
,,,,OCD,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,,,,,,,,
,,,,PTSD,"apakah kamu gugup, khawatir atau cemas?",,,,,,,,
,,,,PTSD,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,,,,,,
,,,,PTSD,apakah kamu pernah berfikir untuk menyakiti diri sendiri?,,,,,,,,
,,,,PTSD,apakah kamu memiliki masalah dengan ingatan? seperti mudah melupakan sesuatu atau mengingat hal baru?,,,,,,,,
,,,,PTSD,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,,,,,,,,
,,,,PTSD,apakah kamu merasa terpisah dari dirimu sendiri? seperti pikiran mu atau lingkungan mu?,,,,,,,,
,,,,PTSD,apakah kamu kesulitan percaya pada orang lain sehingga tidak merasa dekat dengan siapapun dan tidak menikmati hubungan mu dengan orang lain?,,,,,,,,
,,,,PTSD,apa kamu pernah meminum minuman alkohol lebih dari 4 jenis dalam satu hari?,,,,,,,,
,,,,PTSD,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",,,,,,,,
,,,,PTSD,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?",,,,,,,,
,,,,PTSD,"apa kamu punya masalah tidur? seperti terlalu lama tidur, tidur terlalu pagi, atau slalu tertidur?",,,,,,,,
,,,,PTSD,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,,
,,,,PTSD,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,,,,,,,,
,,,,Specific Phobia,"apakah kamu gugup, khawatir atau cemas?",,,,,,,,
,,,,Specific Phobia,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,,,,,,
,,,,Specific Phobia,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,,,,,,,,
,,,,Specific Phobia,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,,
,,,,Specific Phobia,apa kamu khawatir akan kebersihan benda yang kamu sentuh?,,,,,,,,
,,,,Social Anxiety,"apakah kamu gugup, khawatir atau cemas?",,,,,,,,
,,,,Social Anxiety,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,,,,,,
,,,,Social Anxiety,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,,,,,,,,
,,,,Social Anxiety,apakah kamu kesulitan percaya pada orang lain sehingga tidak merasa dekat dengan siapapun dan tidak menikmati hubungan mu dengan orang lain?,,,,,,,,
,,,,Social Anxiety,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",,,,,,,,
,,,,Social Anxiety,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?",,,,,,,,
,,,,Social Anxiety,"apa kamu Mengeluh sakit perut, sakit kepala, atau nyeri dan rasa sakit lainnya?",,,,,,,,
,,,,Social Anxiety,apakah fokus mu terganggu saat sedang melakukan sesuatu?,,,,,,,,
,,,,Social Anxiety,apakah kamu merasa saat melakukan sesuatu menjadi tidak menyenangkan lagi seperti biasanya?,,,,,,,,
,,,,Social Anxiety,apakah kamu merasa sedih atau tertekan dalam waktu yang lama seperti berjam jam?,,,,,,,,
,,,,Social Anxiety,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,,,,,,,,
